SHA	AuthorDate	Type	Scope	Subject	Systems	Trees	Files
6940ae516	2026-03-09	unify	pathfinder	unify(pathfinder): Move AIPathfind.h and AIPathfind.cpp to Core (#2428)	ZH-24	Core;GeneralsMD	8
4c72d3234	2026-03-08	chore	replays	chore(replays): Update GeneralsReplays reference to latest (#2424)			1
a19d38fce	2026-03-08	fix	lookat	fix(lookat): Fix mouse anchor and direction issue for camera pitch (#2421)		Core;GeneralsMD	2
d93c9051f	2026-03-08	bugfix	audio	bugfix(audio): Decouple Particle Cannon audio spawn point from visual beam to restore correct position and fix quiet beam audio (#2415)		GeneralsMD	2
80f537bd2	2026-03-07	unify	pathfinder	unify(pathfinder): Merge Pathfinder::moveAllies and Pathfinder::findAttackPath from Zero Hour (#2341)		GeneralsMD	2
b2abc53de	2026-03-07	unify	pathfinder	unify(pathfinder): Merge Pathfinder::moveAlliesDestinationCallback, ::processHierarchicalCell, ::findClosestPath, ::updateGoal (#2341)		GeneralsMD	2
9878e1c68	2026-03-07	unify	pathfinder	unify(pathfinder): Merge Pathfinder::checkForPossible(), ::processPathfindQueue(), ::examineNeighboringCells(), ::buildHierarchicalPath() (#2341)		GeneralsMD	2
c2cff48a9	2026-03-07	unify	pathfinder	unify(pathfinder): Merge Pathfinder::clientSafeQuickDoesPathExist() and Pathfinder::clientSafeQuickDoesPathExistForUI() from Zero Hour (#2341)		GeneralsMD	10
b18feac66	2026-03-07	refactor	random	refactor(random): Simplify code in RandomValue (#2370)		Core	1
41a848c90	2026-03-07	unify	pathfinder	unify(pathfinder): Merge PathfindLayer::doDebugIcons(), Pathfinder::Classify functions, Pathfinder::checkDestination() and Pathfinder::checkForMovement() (#2414)		GeneralsMD	2
6b726d7c7	2026-03-05	bugfix	heightmap	bugfix(heightmap): Fix zagged shapes on steep diagonal terrain (#2406)	ZH-04	Core	1
20513cd2a	2026-03-05	refactor	view	refactor(view): Split contents of W3DView::buildCameraTransform(), W3DView::calcCameraAreaConstraints() (#2403)		Core	2
38a305646	2026-03-05	bugfix	gunship	bugfix(gunship): Select Spectre Gunship only on the client that controls the unit (#2402)		GeneralsMD	1
a14030585	2026-03-05	bugfix	ai	bugfix(ai): Reset jet locomotor to normal when attack locomotor timer expires (#2397)		GeneralsMD	2
528639300	2026-03-05	build	cmake	build(cmake): Append RTS_BUILD_OUTPUT_SUFFIX to installable targets (#2378)		Core;GeneralsMD	16
d8e070712	2026-03-04	unify	pathfinder	unify(pathfinder): Merge PathfindZoneManager() (#2404)		GeneralsMD	5
b1b6080c1	2026-03-04	chore	pathfinder	chore(pathfinder): Remove unused forced refresh calling in PathfindZoneManager::calculateZones() (#2404)		GeneralsMD	1
2c7701fd7	2026-03-04	refactor		refactor: Add compatibility macros for override and final keywords and rename conflicting identifiers (#2389)	ZH-13;ZH-18	Core;GeneralsMD	20
b330a0f34	2026-03-04	refactor	random	refactor(random): Reorder RandomValue function definitions (2) (#2405)		Core	1
447327571	2026-03-05	refactor	dozeraiupdate	refactor(dozeraiupdate): Streamline dozer task cancellation logic (#2387)		GeneralsMD	12
3e2dc02fe	2026-03-04	refactor	random	refactor(random): Reorder RandomValue function definitions (#2384)		Core	1
15ba9f6aa	2026-03-04	feat		feat: Implement math CRC calculation utility for logic mismatch detection purposes (#2100)		Core	3
7cb5a6275	2026-03-03	bugfix	pathfinder	bugfix(pathfinder): Fix uninitialized variable in Pathfinder::tightenPathCallback to prevent mismatches (#2309)		GeneralsMD	2
7a9254d0d	2026-03-02	unify	pathfinder	unify(pathfinder): Remove unused argument from PathfindZoneManager::markZonesDirty() (#2381)		GeneralsMD	2
86bb1acc0	2026-03-04	bugfix	radar	bugfix(radar): Fix incorrect 2D distance calculation in Radar::tryEvent (#2368)	ZH-16	Core	1
1e95708f3	2026-03-03	refactor	battleplan	refactor(battleplan): Split data off of BattlePlanBonuses class (#2335)		GeneralsMD	8
58b1c1b0d	2026-03-03	bugfix	audio	bugfix(audio): Fix range volume fade of 3D sounds and make it configurable in AudioSettings.ini (#2369)		Core	3
f1a9569bf	2026-03-03	fix	view	fix(view): Implement state for user controlled camera to properly distinguish between scripted and user camera (#2363)		Core;GeneralsMD	18
05af998aa	2026-03-02	fix	network	fix(network): Move TransportMessageHeader to before it is used in NetworkDefs.h (#2382)		Core	1
c7bf8e98c	2026-03-02	ci	vcpkg	ci(vcpkg): Fix recurring binary cache invalidation from runner image updates (#2371)			3
83a51f837	2026-02-27	fix	pathfinder	fix(pathfinder): Add missing logical block for zone type optimization in PathfindZoneManager::calculateZones() (#2360)		GeneralsMD	1
ea390c40f	2026-02-27	chore	pathfinder	chore(pathfinder): Remove register variable and use member variable directly in PathfindZoneManager::calculateZones() (#2360)		GeneralsMD	1
08def4350	2026-02-27	chore	pathfinder	chore(pathfinder): Change while loops to for loops in PathfindZoneManager::calculateZones() (#2360)		GeneralsMD	1
a01fc9a7d	2026-02-27	chore	pathfinder	chore(pathfinder): Change open braces to be K&R style in PathfindZoneManager::calculateZones() (#2360)		GeneralsMD	1
aa97c2c5f	2026-02-27	chore	pathfinder	chore(pathfinder): Change leading spaces to leading tabs in PathfindZoneManager:calculateZones() (#2360)		GeneralsMD	1
56ecbad87	2026-02-28	tweak	menu	tweak(menu): Show mouse and menu immediately when shellmap is disabled (#2356)		GeneralsMD	2
e99984ebe	2026-02-28	fix	logic	fix(logic): Fix potential null pointer deferences in GameLogicDispatch (#2354)	ZH-24	GeneralsMD	6
88d7df35e	2026-02-28	tweak	random	tweak(random): Replace InitGameLogicRandom with InitRandom for consistent client and audio seeds (#2339)		Core;GeneralsMD	12
8cce6f644	2026-02-28	bugfix	audio	bugfix(audio): Fix particle cannon being inaudible after saveload (#2302)		GeneralsMD	2
37fb2a6c3	2026-02-28	fix	headless	fix(headless): Use ParticleSystemManager update instead of reset in headless replay (#2219)		GeneralsMD	4
0d746e5cf	2026-02-27	refactor	view	refactor(view): Change scripted state booleans to enum flags in W3DView (#2357)		Core;GeneralsMD	5
bb193fd52	2026-02-28	bugfix	partition	bugfix(partition): Fix inconsistent mine collision behaviour (#2208)	ZH-15;ZH-19	Core;GeneralsMD	5
cf961415c	2026-02-26	refactor	view	refactor(view): Simplify code to set location for Replay Camera (#2353)		Core;GeneralsMD	3
747d24956	2026-02-26	fix	view	fix(view): Call View::forceRedraw() instead of doing tricks to refresh the camera normally (#2352)	ZH-04	Core;GeneralsMD	3
ba85aae33	2026-02-26	refactor	lookat	refactor(lookat): Simplify pitch, fov, zoom logic in LookAtTranslator (#2351)		GeneralsMD	2
daf86de18	2026-02-25	fix	object	fix(object): Save and load game object list in correct order (#2161)		GeneralsMD	4
b1c456b4b	2026-02-25	bugfix	registry	bugfix(registry): Prioritize HKEY_CURRENT_USER registry reads and writes over HKEY_LOCAL_MACHINE to prevent inaccessible data (#1844)		Core;GeneralsMD	3
78d94fb33	2026-02-24	refactor		refactor: Remove redundant void argument from functions (#2345)	ZH-01;ZH-02;ZH-03;ZH-04;ZH-05;ZH-06;ZH-07;ZH-08;ZH-09;ZH-10;ZH-11;ZH-12;ZH-13;ZH-14;ZH-15;ZH-16;ZH-17;ZH-18;ZH-19;ZH-20;ZH-21;ZH-22;ZH-23;ZH-24;ZH-25	Core;GeneralsMD	2066
75d59379e	2026-02-23	refactor		refactor: Simplify unconditional asserts from DEBUG_ASSERTCRASH to DEBUG_CRASH (#2343)	ZH-12;ZH-16;ZH-19	Core;GeneralsMD	89
8fa92a8fc	2026-02-23	refactor	preferences	refactor(preferences): Move OptionPreferences class into separate files (#1840)		Core;GeneralsMD	40
3ddec3a1c	2026-02-22	refactor	language	refactor(language): Cleanup GlobalLanguage code and add function GlobalLanguage::getResolutionFontSizeScale() (#2338)		Core	2
862422da3	2026-02-21	bugfix	skirmish	bugfix(skirmish): Prevent mismatch in Replay playback by restoring correct game seed after restarting a Skirmish game (#2270)		GeneralsMD	4
7b3f70a94	2026-02-21	refactor	pathfinder	refactor(pathfinder): Remove unused function Pathfinder::pathDestination() (#2308)		GeneralsMD	4
9156dadb4	2026-02-21	unify	client	unify(client): Move several GameClient files to Core (#2337)	ZH-20;ZH-22;ZH-25	Core;GeneralsMD	64
3631d56db	2026-02-21	unify	client	unify(client): Merge DisplayString, GameText, GlobalLanguage, SelectionInfo code (#2337)		GeneralsMD	10
09f3a8456	2026-02-22	bugfix	player	bugfix(player): Fix rounding inaccuracies with money awarded by Cash Bounty (#2330)		GeneralsMD	2
0b8af6de3	2026-02-22	bugfix	behavior	bugfix(behavior): Prevent fallen Angry Mob members from respawning at the Barracks after loading a save (#2314)		GeneralsMD	2
92fdfb9b8	2026-02-21	refactor	pathfinder	refactor(pathfinder): Cleanup retail compatible insertion sort code (#2331)		GeneralsMD	2
a2429675a	2026-02-21	refactor	pathfinder	refactor(pathfinder): Implement PathfindCellList class for the pathfindcell closedList (#2327)		GeneralsMD	4
2aaf31393	2026-02-16	refactor	pathfinder	refactor(pathfinder): Implement PathfindCellList class for the pathfindcell openList (#2327)		GeneralsMD	4
312ebd85f	2026-02-21	bugfix	victory	bugfix(victory): Save victory status to prevent early exits from resulting in defeat in network matches (#2292)		GeneralsMD	4
014ca81ed	2026-02-21	fix	netpacket	fix(netpacket): Fix incorrect improbable return value in NetPacket::GetBufferSizeNeededForCommand() (#2328)		Core	1
a76a4c2d1	2026-02-20	unify	gui	unify(gui): Move several GUI related files to Core (#2332)		Core;GeneralsMD	44
e5db676e1	2026-02-20	unify	loadscreen	unify(loadscreen): Merge LoadScreen and related code (#2332)		GeneralsMD	6
146f7ce0f	2026-02-20	fix	loadscreen	fix(loadscreen): Fix missing pointer initialization in constructors of MultiPlayerLoadScreen, GameSpyLoadScreen and remove superfluous code from destructors of LoadScreen classes (#2332)		GeneralsMD	2
d873f6507	2026-02-20	unify	mouse	unify(mouse): Move Mouse, Keyboard files to Core (#2334)		Core;GeneralsMD	31
d305a012c	2026-02-20	unify	mouse	unify(mouse): Merge Mouse, Keyboard code (#2334)		GeneralsMD	3
d778bf30e	2026-02-20	bugfix	battleplanupdate	bugfix(battleplanupdate): Prevent using the Bombardment Cannon while switching Battle Plans (#2324)		GeneralsMD	2
1dab8de5a	2026-02-20	bugfix	behavior	bugfix(behavior): Only detonate Bunker Busters if the missile reaches its destination (#2321)		GeneralsMD	1
75cdd0efd	2026-02-19	tweak	commandline	tweak(commandline): Skip intro logo with -quickstart and enable -nologo, -noShellAnim in Release builds (#2266)		GeneralsMD	2
e0691bf19	2026-02-19	bugfix	radar	bugfix(radar): Show Hero Radar icons in Containers and Tunnels again (#2189)	ZH-16	Core;GeneralsMD	15
e51d7ef02	2026-02-19	fix	connection	fix(connection): Fix unsafe Player ID usage in ConnectionManager, DisconnectManager (#2305)		Core	3
e0fec6e50	2026-02-18	bugfix	particlesys	bugfix(particlesys): Restore Particle System IDs on save load before registering to ParticleSystemManager (#2316)	ZH-10	Core	1
3f7f4d0f0	2026-02-18	bugfix	worldbuilder	bugfix(worldbuilder): Fix incorrect access of empty list in ObjectOptions::_FindOrDont() (#2306)		GeneralsMD	2
b32f2c952	2026-02-17	tweak		tweak: Put fixes that do affect gameplay behind PRESERVE_RETAIL_BEHAVIOR (#2319)		GeneralsMD	13
84be45f2b	2026-02-17	build		build: Fix compile error when building without RETAIL_COMPATIBLE_CRC (#2318)		GeneralsMD	2
41841e159	2026-02-17	bugfix	worldbuilder	bugfix(worldbuilder): Fix optimized trees not being shown in object placer preview window (#2312)		GeneralsMD	1
6cbdd27a0	2026-02-17	bugfix	worldbuilder	bugfix(worldbuilder): Fix uncaught carriage return in CommandButton name when parsing from INI (#2300)		GeneralsMD	2
0ef19ad52	2026-02-17	feat	cratecollide	feat(cratecollide): Add INI option to allow a crate to be picked up multiple times in one frame (#2297)		GeneralsMD	4
f79f6be4a	2026-02-16	build	docker	build(docker): Add Linux LSP support by fixing compile_commands.json paths (#2303)			2
d813f9f55	2026-02-16	tweak	worldbuilder	tweak(worldbuilder): Remove EULA code and data (#2307)		GeneralsMD	10
2468a441f	2026-02-15	fix	netpacket	fix(netpacket): Fix undefined behavior with NetPacket buffer writes (#2304)		Core	1
5d9aa6591	2026-02-14	bugfix	network	bugfix(network): Increase message buffer and max packet sizes to reduce connection issues (#2277)		Core	6
182bf283f	2026-02-14	bugfix		bugfix: Remove superfluous CD checks and related code (#2261)		Core;GeneralsMD	32
6105ba98d	2026-02-08	refactor	netpacket	refactor(netpacket): Simplify initialization of net packet field types (#2288)		Core	2
2c681f9ce	2026-02-08	refactor	netpacket	refactor(netpacket): Streamline order of net packet fields (#2288)		Core	1
b489322a3	2026-02-03	fix	draw	fix(draw): Recover tread debris effects for W3DTankTruckDraw (#2251)	ZH-18	Core	3
caac64f92	2026-02-03	refactor	draw	refactor(draw): Rename emitters functions in W3DTankDraw, W3DTankTruckDraw, W3DTruckDraw (#2251)	ZH-18	Core	6
1af9a2378	2026-02-13	bugfix	worldbuilder	bugfix(worldbuilder): Fix script condition selection when editing newly created condition (#2289)		GeneralsMD	2
5dce9d91b	2026-02-13	bugfix	view	bugfix(view): Recalculate camera area constraints when toggling Control Bar or changing Pitch, FOV (#2291)		Core	1
458c21451	2026-02-13	chore	gui	chore(gui): Implement function GadgetTextEntrySetMaxLen() (#2290)		GeneralsMD	6
d5bfa6ea6	2026-02-13	bugfix	contain	bugfix(contain): Prevent undefined behaviour when a dead unit enters a container (#2258)		GeneralsMD	2
e0a7a951a	2026-02-12	bugfix	ocl	bugfix(ocl): Fix uninitialized variable in ObjectCreationList to avoid mismatches (#2096)		GeneralsMD	2
0734b802b	2026-02-12	bugfix	projectile	bugfix(projectile): Fix out-of-bounds access in DumbProjectile which causes mismatch with very high speed weapons at small hit distances (#2087)		GeneralsMD	1
ae663b596	2026-02-12	bugfix	pathfinder	bugfix(pathfinder): Fix uninitialized variable in Pathfinder::classifyFence() and possible source of mismatches in Retail-compatible builds (#1748)		GeneralsMD	1
47b723ca6	2026-02-11	fix	netpacket	fix(netpacket): Protect text length value from overflowing in NetPacketChatCommand, NetPacketDisconnectChatCommand (#2284)		Core	2
bc17ddfc3	2026-02-10	fix	netcommandmsg	fix(netcommandmsg): Fix new/delete mismatch in NetWrapperCommandMsg (#2287)		Core	1
9479df5c3	2026-02-08	refactor	netpacket	refactor(netpacket): Use more consistent names for packed net packet structs (#2283)		Core	3
1a30bfe54	2026-02-08	refactor	netpacket	refactor(netpacket): Remove duplicate packed commands and cleanup code comments (#2283)		Core	2
77e45101e	2026-02-10	fix	comments	fix(comments): Use 2026 for this year's code comments (#2285)		GeneralsMD	8
c42b5820c	2026-02-10	perf	view	perf(view): Optimize and simplify camera transform update logic (#2280)		Core	2
bdb00e9a6	2026-02-10	bugfix	gui	bugfix(gui): Fix application hang from scrolling a map list with arrow keys (#2281)		GeneralsMD	2
dfe447be9	2026-02-10	feat	gui	feat(gui): Add support for extra column to separate time and date in Replay Menu (#2278)		GeneralsMD	2
44083ebba	2026-02-10	bugfix	cratecollide	bugfix(cratecollide): Prevent crates from being collected multiple times in a single frame (#2279)		GeneralsMD	2
cfbdb3fdd	2026-02-10	bugfix	object	bugfix(object): Cancel previous tasks for captured dozers (#2237)		GeneralsMD	2
d0f24b6e2	2026-02-09	fix	view	fix(view): Prevent float division by zero in W3DView::setupWaypointPath() (#2274)		Core	1
3e0a5be71	2026-02-09	refactor	view	refactor(view): Simplify View angle normalization (#2271)		Core	3
fa9345ac1	2026-02-08	feat	gui	feat(gui): Add replay dates to replay list in Replay Menu (#2255)		GeneralsMD	2
5b0b01d03	2026-02-08	fix	display	fix(display): Fix VideoBuffer format selection in W3DDisplay::createVideoBuffer (#2265)		GeneralsMD	2
856824498	2026-02-08	fix	intro	fix(intro): Fix order of Display Update and Draw in intro loop (#2264)		GeneralsMD	2
8536a29a6	2026-02-08	fix	netpacket	fix(netpacket): Fix misplaced null test in NetPacket::addCommand() (#2272)		Core	1
e233be601	2026-02-08	feat	gui	feat(gui): Implement Player Info List (#2136)		Core;GeneralsMD	11
6248db9f4	2026-02-08	refactor	netpacket	refactor(netpacket): Simplify packet serialization code by using packed structs (#1680)		Core	2
8727e1eb5	2026-02-08	fix		fix: Replace sprintf with snprintf to prevent potential stack overflows (#2262)	ZH-01;ZH-04;ZH-06;ZH-18	Core;GeneralsMD	30
a53adf252	2026-02-08	build	cmake	build(cmake): Force include CppMacros.h globally for VC6 (#2252)			1
c241dbcbf	2026-02-07	tweak	gui	tweak(gui): Use default locale of user for listed replays and save games to match regional date time formats (#2254)		GeneralsMD	2
8e6360e59	2026-02-07	fix	debug	fix(debug): Allocate enough terrain debug icons based on the map dimensions in W3DDebugIcons() (#2231)	ZH-04;ZH-20	Core;GeneralsMD	5
7ce6eeb39	2026-02-05	feat	lanapi	feat(lanapi): Add LANAPI function to find LAN game with host IP address (#2249)		Core	2
26710b99a	2026-02-04	fix	update	fix(update): Extend the height of the USA Particle Cannon laser beam for enormous camera heights (#2220)		GeneralsMD	2
32a27899e	2026-02-04	tweak	pathfinder	tweak(pathfinder): Add audio event and message to announce pathfinding failover (#2242)		GeneralsMD	2
b0a6652c1	2026-02-03	refactor	audio	refactor(audio): Replace AudioManager's loseFocus/regainFocus with reason-based mute/unmute functions (#2236)		Core;GeneralsMD	4
4b79ebfec	2026-02-03	fix	update	fix(update): Fix value initialization of ProjectileStreamUpdate::m_projectileIDs (#2248)		GeneralsMD	2
026e633d2	2026-02-01	fix	draw	fix(draw): Replace ParticleSystem pointers with ParticleSystemID for safe particle lookups in W3DTrankDraw, W3DTankTruckDraw, W3DTruckDraw (#2235)	ZH-18	Core	6
e5922b4b9	2026-02-01	refactor	draw	refactor(draw): Simplify particle effects code in W3DTankDraw, W3DTankTruckDraw, W3DTruckDraw (#2235)	ZH-18	Core	6
bd26ac727	2026-02-03	feat	version	feat(version): Add functions to get Git short hash string (#2243)		GeneralsMD	4
794c633cc	2026-02-03	refactor	lanapi	refactor(lanapi): Make LANMessage accessible in LANAPI (#2241)		Core	1
f58c2fdca	2026-02-02	fix	draw	fix(draw): Fix illogical dirt effect update code in W3DTruckDraw::doDrawModule(), W3DTankTruckDraw::doDrawModule() (#2234)	ZH-18	Core	2
20cbbca9c	2026-01-31	refactor	view	refactor(view): Simplify Clip Planes related code in W3DView::setCameraTransform() (#2232)		Core	1
d5f9c63a8	2026-01-31	refactor	view	refactor(view): Simplify position code in W3DView::buildCameraTransform() (#2232)		Core	1
c7392fdd6	2026-01-31	refactor	view	refactor(view): Simplify Real Zoom Cam related code (#2232)		Core	1
42e2b771e	2026-01-31	refactor	view	refactor(view): Consolidate duplicate terrain render update logic into new function W3DView::updateTerrain() (#2232)		Core	2
bf2b4666e	2026-01-31	refactor	view	refactor(view): Simplify zoom adjustment code in W3DView::update() (#2232)		Core	2
0d37118d4	2026-01-31	refactor	view	refactor(view): Split View::setAngleAndPitchToDefault into 2 separate functions (#2232)		Core;GeneralsMD	10
79798d217	2026-01-31	refactor	view	refactor(view): Improve functions, variables, comments in View, W3DView (#2232)	ZH-04	Core;GeneralsMD	10
a5908ef0c	2026-01-31	refactor	view	refactor(view): Remove unused functions in View class (#2232)		Core;GeneralsMD	5
df31facd9	2026-02-02	docs		docs: Fix spelling errors in Core, GameEngineDevice, Libraries, Tools comments (2) (#2147)	ZH-01;ZH-04;ZH-08;ZH-10;ZH-14;ZH-18	Core;GeneralsMD	65
065baf160	2026-02-02	docs		docs: Fix spelling errors in GeneralsMD/Code/GameEngine comments (2) (#2146)	ZH-04;ZH-15;ZH-18;ZH-19;ZH-24;ZH-25	GeneralsMD	69
02e33d74e	2026-02-01	perf	particlesys	perf(particlesys): Optimize angleBetween() in Particle System (#2218)	ZH-10	Core	1
fa4aabfe8	2026-02-01	perf	particlesys	perf(particlesys): Reduce cost of ParticleSystemManager::findParticleSystem() by 80% (#2217)	ZH-10	Core	3
41bdc8a4a	2026-02-01	fix	shadow	fix(shadow): Fix crash by initializing debris shadow name to an empty string (#2221)	ZH-06;ZH-08;ZH-13;ZH-18	Core;GeneralsMD	5
d0ea038cb	2026-02-01	bugfix	gui	bugfix(gui): Fix game window animation movements to scale with display resolution (#2210)		GeneralsMD	2
55acac4c3	2026-02-01	bugfix	aigroup	bugfix(aigroup): GLA Battle Bus can now respond to attack commands while in bunkered form (#2213)		GeneralsMD	2
d01ec97b9	2026-01-31	fix	display	fix(display): Polish the camera debug text in W3DDisplay::gatherDebugStats() (#2230)		GeneralsMD	2
6c89cee1a	2026-01-31	fix	radar	fix(radar): Always keep Radar View Box in sync with the actual Camera View (#2229)	ZH-16	Core	4
2a6905cfb	2026-01-31	refactor	basetype	refactor(basetype): Implement new functions Region3D::setFromPointsNoZ, Region3D::setFromPoints (#2228)		Core	2
ac36b17c5	2026-01-31	fix	camera	fix(camera): Apply misc code type and comment fixes (#2227)	ZH-04	Core;GeneralsMD	10
aa54b2ddc	2026-01-30	unify	w3ddraw	unify(w3ddraw): Move W3D Draw files to Core (#2225)	ZH-12;ZH-13;ZH-18	Core;GeneralsMD	64
15a06f59b	2026-01-30	unify	w3ddraw	unify(w3ddraw): Merge W3DModelDraw, W3DDependencyModelDraw code (#2225)		GeneralsMD	6
b009261f3	2026-01-30	bugfix	pathfinder	bugfix(pathfinder): Fix some pinched cells being changed to impassable cells in internal_classifyObjectFootprint() (#2222)		GeneralsMD	2
002b8cbdf	2026-01-30	build	debug	build(debug): Add CMake option RTS_DEBUG_CHEATS to enable debug cheats in release builds (#1842)		Core	2
774743406	2026-01-31	tweak	jetaiupdate	tweak(jetaiupdate): Defer offensive commands for parked jets without ammo (#2174)		GeneralsMD	2
292c75568	2026-01-29	fix	radar	fix(radar): Fix Radar pixel color format for non A8R8B8G8 surfaces (#2170)	ZH-16	Core	4
22d757fcc	2026-01-29	unify	particlesys	unify(particlesys): Move ParticleSys and ParticleEditor files to Core (#2212)	ZH-10	Core;GeneralsMD	77
7af8c630a	2026-01-28	refactor	view	refactor(view): Fix variable names in View::getScreenCornerWorldPointsAtZ() (#2201)	ZH-16	Core;GeneralsMD	6
5c4df79bd	2026-01-18	unify	particlesys	unify(particlesys): Merge minor refactors in ParticleSystem (#2153)		GeneralsMD	3
13cce535a	2026-01-18	unify	particlesys	unify(particlesys): Merge fix for erroneous particle visibility thresholds in Particle::isInvisible from Generals (#2153)		GeneralsMD	1
69e3d6a47	2026-01-18	unify	particlesys	unify(particlesys): Merge addition of SMUDGE particle type from Zero Hour (#2153)		GeneralsMD	4
f832a5d5b	2026-01-18	unify	particlesys	unify(particlesys): Compile out superfluous X and Y particle angles in Generals (#2153)		GeneralsMD	9
3cfe5500d	2026-01-18	unify	particlesys	unify(particlesys): Merge addition of ParticleSystem::setSkipParentXfrm from Zero Hour (#2153)		GeneralsMD	4
64d9b0889	2026-01-28	bugfix	mouse	bugfix(mouse): Make Cursor Capture opt-in to prevent capture in GUIEdit (#2187)		GeneralsMD	6
aa37f911b	2026-01-28	bugfix	ghostobject	bugfix(ghostobject): Add Ghost Objects of the local player to the scene correctly after loading a savegame (#2186)		GeneralsMD	2
55ee429b2	2026-01-28	fix	basetype	fix(basetype): Add min/max template functions to BaseType.h (#2183)		Core	1
07b9d0ecc	2026-01-29	fix	activebody	fix(activebody): Subdual damage can no longer go negative (#2184)		GeneralsMD	1
58e8a2b8e	2026-01-29	bugfix	actionmanager	bugfix(actionmanager): Allow immediate resumed construction of buildings if the existing builder dies (#1872)		GeneralsMD	2
afe79cb76	2026-01-29	bugfix	dozeraiupdate	bugfix(dozeraiupdate): Builders now resume their task after having been disabled (#1870)		GeneralsMD	9
831b8106c	2026-01-28	fix	network	fix(network): Fix slightly unstable latency calculation in FrameMetrics::processLatencyResponse() (#2200)		Core	1
d3b62e8e6	2026-01-28	bugfix	network	bugfix(network): Revert changes to ConnectionManager::getMaximumLatency() to avoid a higher latency runahead than required (#2199)		Core	2
117428598	2026-01-25	unify	common	unify(common): Move some common system files to Core (#2185)		Core;GeneralsMD	34
077b657f7	2026-01-25	unify	lib	unify(lib): Move BaseType.h, trig.h to Core (#2185)		Core;GeneralsMD	8
f15abf3ee	2026-01-27	unify	common	unify(common): Merge Registry code (#2193)		GeneralsMD	3
64786cc74	2026-01-27	unify	common	unify(common): Merge CriticalSection, ScopedMutex code from Generals (#2194)		GeneralsMD	2
fa7b78e8e	2026-01-27	unify	common	unify(common): Merge TerrainTypes from Zero Hour (#2196)		GeneralsMD	2
2c26a90ad	2026-01-25	refactor	audioevent	refactor(audioevent): Remove const casts for calling AudioEventRTS::setPlayingAudioIndex() (#2179)		Core;GeneralsMD	4
3966fa83a	2026-01-24	unify	userpreferences	unify(userpreferences): Move UserPreferences files to Core (#2182)		Core;GeneralsMD	8
e7af1192f	2026-01-24	unify	userpreferences	unify(userpreferences): Merge UserPreferences and related code (#2182)		GeneralsMD	8
d5e1088e6	2026-01-23	unify	ini	unify(ini): Merge INI and related code (#2180)		GeneralsMD	9
f7c898fe5	2026-01-18	unify	subsystem	unify(subsystem): Merge SubsystemInterface code (#2180)		GeneralsMD	3
ddccc0c7d	2026-01-18	unity	basetype	unity(basetype): Merge Lib/BaseType.h code (#2180)		GeneralsMD	2
84609c2e6	2026-01-25	bugfix	ai	bugfix(ai): Units located above the terrain can no longer teleport into airborne transports (#1794)	ZH-24	GeneralsMD	2
56c9600c3	2026-01-25	tweak	upgrade	tweak(upgrade): Increase upgrade limit to 512 (#2162)		Core;GeneralsMD	24
669e36f57	2026-01-24	fix	thingfactory	fix(thingfactory): Prevent use-after-free from assert in ThingFactory::reset() (#2172)		GeneralsMD	2
9be5485a4	2026-01-23	perf	ini	perf(ini): Simplify, optimize and merge INI read line buffer implementation (#2143)		GeneralsMD	4
3e365521c	2026-01-23	refactor		refactor: Fix confusing use of logical AND and OR expressions (#954)		GeneralsMD	26
15144de6d	2026-01-22	fix	optionsmenu	fix(optionsmenu): Change incorrect OR/AND precedence of an unused condition in the OptionsMenu (#2164)		GeneralsMD	2
7879b577f	2026-01-23	bugfix	aiupdate	bugfix(aiupdate): Chinooks and Helixes now correctly wait for their passengers to disembark (#1792)		GeneralsMD	2
0f01e2752	2026-01-18	bugfix	pathfinder	bugfix(pathfinder): Fix late game unit lockups and erroneous impassable terrain (#2140)		Core;GeneralsMD	5
ac6dbdcc2	2026-01-17	refactor	pathfinder	refactor(pathfinder): Move obstacle handling functions from PathfindCell header to the cpp (#2140)		GeneralsMD	4
d38f6925a	2026-01-22	unify	damage	unify(damage): Merge DamageTypeFlags from Zero Hour (#2141)		GeneralsMD	15
ccd36fe9e	2026-01-22	build	cmake	build(cmake): Dial back BINK upgrade to get the CMake INSTALL target to work again (#2167)			1
3de159161	2026-01-22	refactor	bitflags	refactor(bitflags): Simplify and improve setup for DAMAGE_TYPE_FLAGS_ALL, DISABLEDMASK_ALL, KINDOFMASK_FS (#2159)		GeneralsMD	17
f244a23c2	2026-01-19	feat	cmake	feat(cmake): Add debug symbol stripping for MinGW Release builds (#2067)		GeneralsMD	5
29dc6b40c	2026-01-16	fix	debug	fix(debug): Simplify unconditional DEBUG_ASSERTCRASH to DEBUG_CRASH (#2067)		GeneralsMD	3
f8fd4a529	2026-01-05	fix	casts	fix(casts): Add explicit void* casts for function pointers (#2067)		GeneralsMD	6
be30428a1	2026-01-05	fix	compatibility	fix(compatibility): Add compiler guards and GCC inline assembly for StackDump (#2067)		GeneralsMD	2
bb9acc6f5	2026-01-05	fix	calling-convention	fix(calling-convention): Standardize calling conventions and variadic macros (#2067)		GeneralsMD	4
7c6cd3514	2026-01-05	fix	linkage	fix(linkage): Fix static/extern linkage mismatches for MinGW (#2067)	ZH-15;ZH-19	Core;GeneralsMD	17
efca138c5	2026-01-05	fix	headers	fix(headers): Add missing forward declarations for MinGW (#2067)		GeneralsMD	4
